Sentence,Sentiment,clean,stopped,lemma
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,biohit oyj develop manufactur and market liquid handl product and diagnost test system for use in research healthcar and industri laboratori,biohit oyj develop manufactur market liquid handl product diagnost test system use research healthcar industri laboratori,biohit company develop manufactur market liquid handl product diagnost test system use research healthcar industri laboratori
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,new chairman of the board of director mr chaim katzman will give a present and answer question,new chairman board director mr chaim katzman give present answer question,new chairman board director mr chaim katzman give present answer question
Viking Line manages well with its current ferries .,positive,vike line manag well with it current ferri,vike line manag well current ferri,vike line manag well current ferri
"When dialing in , the participants should quote 877417 as conference ID .",neutral,when dial in the particip should quot as confer id,dial particip quot confer id,dial particip quot confer id
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,the object of the st petersburg offic is first to boost the compani s mainten busi,object st petersburg offic first boost compani mainten busi,object st petersburg offic first boost compani mainten busi
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,oper profit total mn compar to mn in the correspond period in,oper profit total mn compar mn correspond period,oper profit total million compar million correspond period
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative,net sale for the period are expect to fall well below that of last year and the result after non recur item is expect to be in the red,net sale period expect fall well last year result non recur item expect red,net sale period expect fall well last year result non recur item expect red
`` We have the most expensive water brand in Finland at the moment . '',neutral,we have the most expens water brand in finland at the moment,expens water brand finland moment,expens water brand finland moment
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,franc t l com spent more time studi teliasonera than other potenti takeov target becaus it ha a sharehold that want to sell pellissi said,franc l com spent time studi teliasonera potenti takeov target becaus ha sharehold want sell pellissi said,franc l com spent time studi teliasonera potenti takeov target becaus ha sharehold want sell pellissi said
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive,brk b spi all time high tomorrow 150k on the a share dec,brk b spi time high tomorrow 150k share dec,brk b spi time high tomorrow 150k share dec
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative,salonen ad that data show produc pulp inventori in north america are declin,salonen ad data show produc pulp inventori north america declin,salonen ad data show produc pulp inventori north america declin
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral,marimekko aim to expand it distribut network primarili by increas the number of concept store and shop in shop,marimekko aim expand distribut network primarili increas number concept store shop shop,marimekko aim expand distribut network primarili increas number concept store shop shop
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,srv lower it net sale estim for the whole of due to uncertainti in hous sale,srv lower net sale estim whole due uncertainti hous sale,srv lower net sale estim whole due uncertainti hous sale
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive,awr standard poor s affirm a credit rate at american state water compani and golden state water compani http stk co f2p94,awr standard poor affirm credit rate american state water compani golden state water compani http stk co f2p94,awr standard poor affirm credit rate american state water compani golden state water compani http stk company f2p94
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive,accord to ceo kai telann the compani s newspap achiev the best financi result ever,accord ceo kai telann compani newspap achiev best financi result ever,accord ceo kai telann compani newspap achiev best financi result ever
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,seat belt recal who care i m a buyer tsla,seat belt recal care buyer tsla,seat belt recal care buyer tsla
